nome,senha,cpf,telefone,
Ana.Silva,senha123,12345678901,11912345678,
João.Pereira,senha456,23456789012,21923456789,
Maria.Souza,senha789,34567890123,31934567890,
Carlos.Almeida,senha321,45678901234,41945678901,
Lucas.Ferreira,senha654,56789012345,51956789012,
Juliana.Lima,senha987,67890123456,61967890123,
Fernando.Gomes,senha111,78901234567,71978901234,
Patrícia.Rocha,senha222,89012345678,81989012345,
Marcos.Costa,senha333,90123456789,91990123456,
Raquel.Ribeiro,senha444,01234567890,11901234567,
Thiago.Nunes,senha555,12345678910,21912345678,
Carla.Teixeira,senha666,23456789021,31923456789,
Rafael.Mendes,senha777,34567890132,41934567890,
Viviane.Lopes,senha888,45678901243,51945678901,
